AURIX TC26x B-Step, 2.5MB FLASH, 2 cores, HSM: no, EMEM: yes, CPU speed: 200.000000MHz
CoreId,CoreArch,PCache[KB],DCache[KB],PSPR[KB],DSPR[KB],LADDR
CPU0    1.6E    8       0       16      72      7
C_MODE,DCACHE,PCACHE,DSECS,DSEC,VECMATH,WORDS,EXEC,CLK,VAR_CLK[ticks],IST,VAR_IST,MCNT1,VAR_MCNT1,MCNT2,VAR_MCNT2,MCNT3,VAR_MCNT3
0,0,0,af000000,DFlash,VecSum,256,30,19180.87,311.62,2099.57, 99.98,  3.83, 15.26,258.83,  4.49,  0.00,  0.00
0,0,0,af000000,DFlash,VecSum,512,30,38297.40,587.41,4203.27,189.34, 12.33, 28.89,517.37,  8.58,  0.00,  0.00
0,0,0,af000000,DFlash,VecSum,1024,30,76410.60,741.64,8370.23,238.25, 23.40, 36.67,1032.57, 10.64,  0.00,  0.00
0,0,0,af000000,DFlash,VecSum,2048,30,152076.70,672.43,16527.10,216.25, 17.93, 33.27,2055.03,  9.73,  0.00,  0.00
0,0,0,af000000,DFlash,VecSum,4096,30,303632.40,813.60,32912.44,261.57, 18.07, 40.06,4103.07, 11.71,  0.00,  0.00
1,0,0,af000000,DFlash,VecSum,256,30,19238.73,433.03,2118.13,138.94,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1,0,0,af000000,DFlash,VecSum,512,30,38297.20,586.90,4203.33,189.51,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1,0,0,af000000,DFlash,VecSum,1024,30,76403.67,747.39,8368.97,239.92,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1,0,0,af000000,DFlash,VecSum,2048,30,152075.00,669.90,16526.44,215.21,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1,0,0,af000000,DFlash,VecSum,4096,30,303630.20,809.67,32911.77,260.62,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecSum,256,30,19238.73,433.03,2118.13,138.94,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecSum,512,30,38297.86,588.60,4203.27,189.34,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecSum,1024,30,76411.05,741.81,8370.23,238.21,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecSum,2048,30,152075.20,670.31,16526.37,215.07,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecSum,4096,30,303630.80,811.23,32911.71,260.51,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
3,0,0,af000000,DFlash,VecSum,256,30,19238.47,432.04,2118.20,139.19,270.83, 29.31,4788.67,197.06,13838.10, 49.02
3,0,0,af000000,DFlash,VecSum,512,30,38297.67,588.09,4203.33,189.51,534.63, 39.86,9449.00,267.70,27675.23, 66.88
3,0,0,af000000,DFlash,VecSum,1024,30,76413.54,760.65,8372.30,244.36,1062.00, 51.42,18768.80,346.38,55349.04, 86.33
3,0,0,af000000,DFlash,VecSum,2048,30,152120.70,710.02,16541.00,226.85,2081.63, 48.40,37169.46,323.25,110637.20, 80.62
3,0,0,af000000,DFlash,VecSum,4096,30,303669.50,835.50,32923.67,267.58,4129.43, 56.81,74031.96,380.15,221228.90, 95.00
0,0,0,af000000,DFlash,VecMax,256,30,22876.87,429.79,2378.13,138.94,262.70, 21.33,  4.67,  6.24,  0.00,  0.00
0,0,0,af000000,DFlash,VecMax,512,30,45577.40,642.65,4737.83,207.58,527.27, 31.90,  7.17,  9.32,  0.00,  0.00
0,0,0,af000000,DFlash,VecMax,1024,30,90809.39,750.95,9402.23,243.42,1048.00, 37.51,  9.77, 10.89,  0.00,  0.00
0,0,0,af000000,DFlash,VecMax,2048,30,180744.20,620.01,18560.47,200.26,2063.20, 31.11,  7.17,  8.95,  0.00,  0.00
0,0,0,af000000,DFlash,VecMax,4096,30,361028.40,823.30,37012.44,265.24,4114.20, 40.95,  8.07, 12.02,  0.00,  0.00
1,0,0,af000000,DFlash,VecMax,256,30,22876.33,427.80,2378.20,139.19,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1,0,0,af000000,DFlash,VecMax,512,30,45576.52,640.71,4737.90,207.73,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1,0,0,af000000,DFlash,VecMax,1024,30,90799.73,737.93,9398.90,238.99,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1,0,0,af000000,DFlash,VecMax,2048,30,180799.30,664.86,18578.44,215.21,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1,0,0,af000000,DFlash,VecMax,4096,30,361026.70,820.54,37011.77,264.14,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecMax,256,30,22876.87,429.79,2378.13,138.94,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecMax,512,30,45576.53,640.71,4737.90,207.73,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecMax,1024,30,90797.79,735.78,9398.23,238.25,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
