AURIX TC26x B-Step, 2.5MB FLASH, 2 cores, HSM: no, EMEM: yes, CPU speed: 200.000000MHz
CoreId,CoreArch,PCache[KB],DCache[KB],PSPR[KB],DSPR[KB],LADDR
CPU1	1.6P	16	8	32	120	6
C_MODE,DCACHE,PCACHE,DSECS,DSEC,VECMATH,WORDS,EXEC,CLK,VAR_CLK[ticks],IST,VAR_IST,MCNT1,VAR_MCNT1,MCNT2,VAR_MCNT2,MCNT3,VAR_MCNT3
0,0,0,af000000,DFlash,VecSum,256,30,16131.00,360.81,2099.57, 99.98,13833.54, 24.41,779.83, 15.26,  0.00,  0.00
0,0,0,af000000,DFlash,VecSum,512,30,32134.53,595.60,4184.70,167.10,27664.96, 35.90,1553.50, 25.50,  0.00,  0.00
0,0,0,af000000,DFlash,VecSum,1024,30,64143.07,839.42,8355.03,235.71,55328.83, 50.45,3100.90, 36.07,  0.00,  0.00
0,0,0,af000000,DFlash,VecSum,2048,30,127684.10,844.73,16560.23,236.37,110628.20, 50.99,6175.83, 36.40,  0.00,  0.00
0,0,0,af000000,DFlash,VecSum,4096,30,254553.80,795.71,32914.39,222.21,221213.30, 47.43,12314.90, 33.95,  0.00,  0.00
1,0,0,af000000,DFlash,VecSum,256,30,16196.40,495.42,2118.13,138.94,  0.00,  0.00,  0.00,  0.00,778.07, 18.96
1,0,0,af000000,DFlash,VecSum,512,30,32135.40,598.21,4184.77,167.30,  0.00,  0.00,  0.00,  0.00,1548.63, 22.90
1,0,0,af000000,DFlash,VecSum,1024,30,64143.06,839.42,8355.03,235.71,  0.00,  0.00,  0.00,  0.00,3094.67, 32.03
1,0,0,af000000,DFlash,VecSum,2048,30,127703.90,867.36,16566.23,243.42,  0.00,  0.00,  0.00,  0.00,6169.30, 32.90
1,0,0,af000000,DFlash,VecSum,4096,30,254546.50,781.78,32912.44,218.51,  0.00,  0.00,  0.00,  0.00,12308.27, 29.70
2,0,0,af000000,DFlash,VecSum,256,30,16196.33,495.15,2118.13,138.94,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecSum,512,30,32068.60,496.15,4166.13,138.94,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecSum,1024,30,64144.60,842.17,8355.03,235.71,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecSum,2048,30,127692.50,852.04,16562.83,238.87,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecSum,4096,30,254542.50,774.65,32911.70,217.21,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
3,0,0,af000000,DFlash,VecSum,256,30,16064.00,  0.00,2081.00,  0.00,264.00,  0.00,6563.00,  0.00,13578.00,  0.00
3,0,0,af000000,DFlash,VecSum,512,30,32069.07,497.90,4166.13,138.94,527.80, 29.18,13060.03,363.07,27167.30, 79.70
3,0,0,af000000,DFlash,VecSum,1024,30,64144.34,841.70,8355.03,235.71,1059.30, 49.49,26101.47,613.55,54356.43,134.92
3,0,0,af000000,DFlash,VecSum,2048,30,127678.00,838.57,16558.90,235.38,2086.43, 49.79,51730.16,609.66,108638.00,136.08
3,0,0,af000000,DFlash,VecSum,4096,30,254585.70,795.52,32923.67,223.08,4130.43, 47.28,102879.90,577.49,217171.10,129.35
0,0,0,af000000,DFlash,VecMax,256,30,17281.87,493.40,2378.13,138.94,525.93, 29.68,784.63, 21.08,  0.00,  0.00
0,0,0,af000000,DFlash,VecMax,512,30,34243.27,591.81,4700.70,167.10,1041.97, 35.90,1555.43, 25.30,  0.00,  0.00
0,0,0,af000000,DFlash,VecMax,1024,30,68299.33,836.24,9382.97,235.58,2081.83, 50.45,3102.73, 35.77,  0.00,  0.00
0,0,0,af000000,DFlash,VecMax,2048,30,135862.00,792.90,18591.60,222.95,4129.10, 48.33,6174.50, 34.00,  0.00,  0.00
0,0,0,af000000,DFlash,VecMax,4096,30,270992.50,781.57,37013.03,219.57,8222.13, 47.03,12316.60, 33.43,  0.00,  0.00
1,0,0,af000000,DFlash,VecMax,256,30,17216.00,355.42,2359.57, 99.98,  0.00,  0.00,  0.00,  0.00,263.43, 13.10
1,0,0,af000000,DFlash,VecMax,512,30,34244.13,594.40,4700.70,167.10,  0.00,  0.00,  0.00,  0.00,524.47, 22.40
1,0,0,af000000,DFlash,VecMax,1024,30,68300.99,839.29,9383.03,235.71,  0.00,  0.00,  0.00,  0.00,1046.23, 31.24
1,0,0,af000000,DFlash,VecMax,2048,30,135883.90,816.60,18597.66,229.51,  0.00,  0.00,  0.00,  0.00,2070.07, 30.31
1,0,0,af000000,DFlash,VecMax,4096,30,270990.30,777.46,37012.44,218.51,  0.00,  0.00,  0.00,  0.00,4115.87, 29.05
2,0,0,af000000,DFlash,VecMax,256,30,17281.87,493.40,2378.13,138.94,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecMax,512,30,34246.67,602.04,4700.77,167.30,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecMax,1024,30,68302.67,842.35,9383.03,235.71,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecMax,2048,30,135877.40,808.71,18595.66,226.87,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecMax,4096,30,270990.00,777.65,37011.77,217.35,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
3,0,0,af000000,DFlash,VecMax,256,30,17283.40,499.14,2378.13,138.94,527.80, 29.18,6685.67,365.44,13652.13, 79.07
3,0,0,af000000,DFlash,VecMax,512,30,34244.13,594.40,4700.70,167.10,1043.70, 35.10,13132.70,434.10,27230.80, 95.40
3,0,0,af000000,DFlash,VecMax,1024,30,68300.94,839.17,9383.03,235.71,2083.30, 49.49,26126.33,613.32,54409.20,134.50
3,0,0,af000000,DFlash,VecMax,2048,30,135933.70,839.51,18611.56,235.85,4134.53, 49.89,51757.88,611.99,108690.90,135.81
3,0,0,af000000,DFlash,VecMax,4096,30,271031.00,807.38,37023.67,225.48,8226.43, 48.12,102905.30,585.13,217223.90,132.32
0,0,0,af000000,DFlash,VecWave,256,30,28956.44,602.97,9301.70,167.10,7619.77, 41.32,11063.07, 25.96,  0.00,  0.00
0,0,0,af000000,DFlash,VecWave,512,30,57507.56,806.17,18573.47,222.93,15041.07, 54.13,22079.93, 34.94,  0.00,  0.00
0,0,0,af000000,DFlash,VecWave,1024,30,114213.80,863.20,37039.90,238.99,29897.86, 59.51,43962.99, 38.16,  0.00,  0.00
0,0,0,af000000,DFlash,VecWave,2048,30,226820.70,821.09,73880.00,224.87,59372.30, 56.81,87216.10, 38.34,  0.00,  0.00
0,0,0,af000000,DFlash,VecWave,4096,30,452992.70,1181.70,147608.00,322.10,118717.10, 84.85,174411.30, 56.44,  0.00,  0.00
1,0,0,af000000,DFlash,VecWave,256,30,28958.70,609.78,9301.77,167.30,  0.00,  0.00,  0.00,  0.00,2058.53, 22.60
1,0,0,af000000,DFlash,VecWave,512,30,57507.73,806.49,18573.47,222.93,  0.00,  0.00,  0.00,  0.00,4114.07, 30.15
1,0,0,af000000,DFlash,VecWave,1024,30,114206.80,857.23,37037.90,236.94,  0.00,  0.00,  0.00,  0.00,8214.77, 32.11
1,0,0,af000000,DFlash,VecWave,2048,30,226782.50,794.78,73870.09,219.71,  0.00,  0.00,  0.00,  0.00,16402.37, 29.82
1,0,0,af000000,DFlash,VecWave,4096,30,452956.30,1104.43,147598.80,303.89,  0.00,  0.00,  0.00,  0.00,32786.40, 41.32
2,0,0,af000000,DFlash,VecWave,256,30,28889.50,500.06,9283.13,138.94,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecWave,512,30,57508.13,807.32,18573.47,222.93,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecWave,1024,30,114230.50,888.24,37044.53,245.48,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecWave,2048,30,226781.70,794.15,73869.43,218.50,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecWave,4096,30,452953.80,1104.48,147597.40,301.84,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
3,0,0,af000000,DFlash,VecWave,256,30,28958.80,610.07,9301.77,167.30,787.70, 35.10,14535.63,442.90,15363.10,100.99
3,0,0,af000000,DFlash,VecWave,512,30,57507.83,806.69,18573.47,222.93,1567.43, 46.87,28767.77,585.57,30486.00,137.04
3,0,0,af000000,DFlash,VecWave,1024,30,114208.60,858.01,37038.57,237.57,3110.83, 50.22,57044.93,620.29,60576.10,146.94
3,0,0,af000000,DFlash,VecWave,2048,30,226822.30,822.16,73880.66,225.48,6178.50, 48.22,113397.40,590.60,119988.30,143.89
3,0,0,af000000,DFlash,VecWave,4096,30,452996.80,1162.41,147610.00,321.68,12322.67, 68.69,226301.80,835.18,239903.30,202.46
0,0,0,af000000,DFlash,VecLUT,256,30,22108.83,497.02,5446.13,138.94,9483.40, 31.43,8463.63, 21.08,  0.00,  0.00
0,0,0,af000000,DFlash,VecLUT,512,30,44259.06,680.89,10859.27,189.34,18964.26, 44.04,17173.27, 28.73,  0.00,  0.00
0,0,0,af000000,DFlash,VecLUT,1024,30,89067.84,862.48,21683.57,239.77,37925.52, 55.88,35105.27, 36.88,  0.00,  0.00
0,0,0,af000000,DFlash,VecLUT,2048,30,178032.80,793.79,43153.69,220.83,75805.19, 51.23,70940.05, 34.23,  0.00,  0.00
0,0,0,af000000,DFlash,VecLUT,4096,30,356212.40,973.87,86162.39,268.73,151581.50, 62.67,142620.10, 42.82,  0.00,  0.00
1,0,0,af000000,DFlash,VecLUT,256,30,22110.20,502.19,5446.20,139.19,  0.00,  0.00,  0.00,  0.00,1545.13, 19.21
1,0,0,af000000,DFlash,VecLUT,512,30,44259.03,680.82,10859.33,189.51,  0.00,  0.00,  0.00,  0.00,3086.17, 25.92
1,0,0,af000000,DFlash,VecLUT,1024,30,89045.47,854.21,21677.57,236.72,  0.00,  0.00,  0.00,  0.00,6167.40, 32.34
1,0,0,af000000,DFlash,VecLUT,2048,30,178026.60,782.01,43151.77,217.35,  0.00,  0.00,  0.00,  0.00,12307.07, 29.39
1,0,0,af000000,DFlash,VecLUT,4096,30,356205.80,961.38,86161.09,266.38,  0.00,  0.00,  0.00,  0.00,24595.33, 36.29
2,0,0,af000000,DFlash,VecLUT,256,30,22109.23,498.51,5446.13,138.94,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecLUT,512,30,44261.80,687.90,10859.33,189.51,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecLUT,1024,30,89069.73,866.61,21684.24,240.61,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecLUT,2048,30,178025.50,782.47,43151.11,216.25,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecLUT,4096,30,356203.70,961.87,86159.76,264.28,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
3,0,0,af000000,DFlash,VecLUT,256,30,22111.13,505.62,5446.13,138.94,783.87, 29.43,12814.40,364.44,15904.07, 82.57
3,0,0,af000000,DFlash,VecLUT,512,30,44259.37,681.66,10859.27,189.34,1559.70, 40.03,25709.30,490.27,32054.17,112.61
3,0,0,af000000,DFlash,VecLUT,1024,30,89047.95,856.25,21678.23,237.24,3110.50, 50.75,51992.09,612.04,64864.77,143.99
3,0,0,af000000,DFlash,VecLUT,2048,30,178034.00,797.48,43154.39,222.21,6175.97, 46.69,104147.10,575.55,130381.90,131.21
3,0,0,af000000,DFlash,VecLUT,4096,30,356247.90,1029.64,86172.34,285.96,12322.67, 61.57,208618.30,731.98,261462.40,175.84
0,0,0,af000000,DFlash,VecGain,256,30,17736.60,494.01,2883.13,138.94, 13.93, 29.68,1294.80, 21.31,  0.00,  0.00
0,0,0,af000000,DFlash,VecGain,512,30,35210.13,594.40,5717.70,167.10, 17.97, 35.90,2577.53, 25.49,  0.00,  0.00
0,0,0,af000000,DFlash,VecGain,1024,30,70289.94,837.34,11424.03,235.71, 33.83, 50.45,5148.90, 35.99,  0.00,  0.00
