AURIX TC37x A-Step, 6MB FLASH, 3 cores, HSM: yes, EMEM: yes, CPU speed: 300.000000MHz
CoreId,CoreArch,PCache[KB],DCache[KB],PSPR[KB],DSPR[KB],LADDR
CPU0    1.6P    32      16      64      240     7
C_MODE,DCACHE,PCACHE,DSECS,DSEC,VECMATH,WORDS,EXEC,CLK,VAR_CLK[ticks],IST,VAR_IST,MCNT1,VAR_MCNT1,MCNT2,VAR_MCNT2,MCNT3,VAR_MCNT3
0,0,0,af000000,DFlash,VecSum,256,30,19430.40,327.49,2099.17, 97.83,17140.10, 47.71,798.10,  9.47,  0.00,  0.00
0,0,0,af000000,DFlash,VecSum,512,30,38690.97,453.69,4165.33,135.95,34278.77, 65.82,1589.90, 12.86,  0.00,  0.00
0,0,0,af000000,DFlash,VecSum,1024,30,77272.73,677.65,8315.83,203.11,68564.30, 97.55,3175.53, 19.19,  0.00,  0.00
0,0,0,af000000,DFlash,VecSum,2048,30,154242.40,773.35,16556.70,231.26,137109.40,113.52,6340.90, 21.18,  0.00,  0.00
0,0,0,af000000,DFlash,VecSum,4096,30,307786.00,755.35,32923.86,223.78,274138.30,111.47,12661.87, 20.65,  0.00,  0.00
1,0,0,af000000,DFlash,VecSum,256,30,19430.53,328.03,2099.17, 97.83,  0.00,  0.00,  0.00,  0.00,772.40, 12.92
1,0,0,af000000,DFlash,VecSum,512,30,38691.10,454.45,4165.40,136.20,  0.00,  0.00,  0.00,  0.00,1543.00, 18.71
1,0,0,af000000,DFlash,VecSum,1024,30,77273.55,678.54,8315.90,203.26,  0.00,  0.00,  0.00,  0.00,3086.23, 27.36
1,0,0,af000000,DFlash,VecSum,2048,30,154242.20,772.78,16556.70,231.26,  0.00,  0.00,  0.00,  0.00,6164.90, 31.06
1,0,0,af000000,DFlash,VecSum,4096,30,307779.60,746.72,32921.87,221.46,  0.00,  0.00,  0.00,  0.00,12306.33, 29.74
2,0,0,af000000,DFlash,VecSum,256,30,19430.37,326.76,2099.17, 97.83,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecSum,512,30,38691.13,454.04,4165.33,135.95,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecSum,1024,30,77212.17,617.99,8297.67,185.26,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecSum,2048,30,154263.60,800.36,16564.00,240.31,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecSum,4096,30,307777.80,744.66,32921.14,220.66,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
3,0,0,af000000,DFlash,VecSum,256,30,19430.43,328.04,2099.23, 98.19,267.73, 20.10,  0.00,  0.00,16909.13, 62.19
3,0,0,af000000,DFlash,VecSum,512,30,38691.64,454.71,4165.33,135.95,527.47, 27.94,  0.00,  0.00,33816.93, 85.55
3,0,0,af000000,DFlash,VecSum,1024,30,77273.48,678.38,8315.90,203.26,1050.70, 41.81,  0.00,  0.00,67643.30,128.05
3,0,0,af000000,DFlash,VecSum,2048,30,154242.60,773.62,16556.70,231.26,2085.20, 47.83,  0.00,  0.00,135262.30,149.09
3,0,0,af000000,DFlash,VecSum,4096,30,307742.20,724.82,32911.66,217.50,4126.87, 44.71,  0.00,  0.00,270408.40,135.91
0,0,0,af000000,DFlash,VecMax,256,30,20381.73,326.96,2355.17, 97.83,574.70, 50.38,775.80,  9.51,  0.00,  0.00
0,0,0,af000000,DFlash,VecMax,512,30,40416.20,550.38,4695.50,163.50,1085.83, 79.06,1547.23, 15.37,  0.00,  0.00
0,0,0,af000000,DFlash,VecMax,1024,30,81305.13,733.54,9358.00,218.00,2392.77,105.04,3088.23, 20.47,  0.00,  0.00
0,0,0,af000000,DFlash,VecMax,2048,30,161714.60,1182.47,18605.37,231.83,4599.37,275.33,6163.40, 21.29,  0.00,  0.00
0,0,0,af000000,DFlash,VecMax,4096,30,320918.80,744.62,37019.20,220.48,8528.00,109.62,12305.67, 20.97,  0.00,  0.00
1,0,0,af000000,DFlash,VecMax,256,30,20274.40,331.40,2355.17, 97.83,  0.00,  0.00,  0.00,  0.00,261.43, 13.10
1,0,0,af000000,DFlash,VecMax,512,30,40416.16,549.50,4695.50,163.50,  0.00,  0.00,  0.00,  0.00,522.33, 22.00
1,0,0,af000000,DFlash,VecMax,1024,30,80736.86,744.09,9358.07,218.13,  0.00,  0.00,  0.00,  0.00,1041.63, 29.27
1,0,0,af000000,DFlash,VecMax,2048,30,161603.10,898.58,18608.70,235.45,  0.00,  0.00,  0.00,  0.00,2070.23, 31.44
1,0,0,af000000,DFlash,VecMax,4096,30,320957.90,816.49,37017.87,219.24,  0.00,  0.00,  0.00,  0.00,4115.30, 29.29
2,0,0,af000000,DFlash,VecMax,256,30,20274.50,331.38,2355.17, 97.83,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecMax,512,30,40414.11,544.53,4695.57,163.70,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecMax,1024,30,80711.98,764.07,9358.07,218.13,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecMax,2048,30,161816.40,910.72,18611.37,239.28,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecMax,4096,30,320913.00,736.98,37017.20,218.71,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
3,0,0,af000000,DFlash,VecMax,256,30,20379.73,321.70,2355.17, 97.83,523.73, 20.10,  0.00,  0.00,16809.73, 87.77
3,0,0,af000000,DFlash,VecMax,512,30,40698.73,565.71,4695.50,163.50,1043.20, 33.60,  0.00,  0.00,33701.54,154.21
3,0,0,af000000,DFlash,VecMax,1024,30,80647.98,753.42,9358.00,218.00,2078.40, 44.80,  0.00,  0.00,66845.97,159.35
3,0,0,af000000,DFlash,VecMax,2048,30,160915.50,894.58,18605.30,231.71,4133.30, 47.94,  0.00,  0.00,133714.90,385.23
3,0,0,af000000,DFlash,VecMax,4096,30,320917.30,746.90,37019.80,221.06,8225.67, 45.79,  0.00,  0.00,267140.90,144.96
0,0,0,af000000,DFlash,VecWave,256,30,36398.76,544.97,9300.50,163.50,9467.63, 74.39,11248.93, 17.08,  0.00,  0.00
0,0,0,af000000,DFlash,VecWave,512,30,72615.50,676.33,18552.90,203.26,18955.73, 92.11,22516.30, 20.59,  0.00,  0.00
0,0,0,af000000,DFlash,VecWave,1024,30,144992.60,790.73,37039.04,237.26,37926.10,109.62,45050.01, 24.19,  0.00,  0.00
0,0,0,af000000,DFlash,VecWave,2048,30,287624.50,632.27,73881.54,224.71,74860.90,108.74,88847.62, 27.58,  0.00,  0.00
0,0,0,af000000,DFlash,VecWave,4096,30,574304.40,893.68,147609.50,300.17,149707.50,143.53,177765.00, 37.24,  0.00,  0.00
1,0,0,af000000,DFlash,VecWave,256,30,36398.46,543.97,9300.50,163.50,  0.00,  0.00,  0.00,  0.00,2056.30, 21.90
1,0,0,af000000,DFlash,VecWave,512,30,72615.50,676.79,18552.83,203.11,  0.00,  0.00,  0.00,  0.00,4109.37, 27.66
1,0,0,af000000,DFlash,VecWave,1024,30,144991.60,790.41,37038.37,236.33,  0.00,  0.00,  0.00,  0.00,8212.50, 31.86
1,0,0,af000000,DFlash,VecWave,2048,30,287674.00,719.46,73879.54,222.19,  0.00,  0.00,  0.00,  0.00,16401.63, 30.21
1,0,0,af000000,DFlash,VecWave,4096,30,574371.40,1061.37,147608.10,298.78,  0.00,  0.00,  0.00,  0.00,32785.70, 40.30
2,0,0,af000000,DFlash,VecWave,256,30,36398.04,543.00,9300.50,163.50,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecWave,512,30,72615.60,677.01,18552.90,203.26,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecWave,1024,30,144981.30,777.60,37035.04,232.44,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecWave,2048,30,287653.60,698.67,73878.88,221.47,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecWave,4096,30,574369.20,1087.58,147606.80,297.74,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
3,0,0,af000000,DFlash,VecWave,256,30,36398.36,544.33,9300.50,163.50,787.30, 33.90,  0.00,  0.00,17386.80, 99.45
